zip,sighting_count
11221,4061
11216,3424
11238,3410
10025,3337
11233,2674
10467,2391
11207,2325
10456,2290
11385,2135
10457,2095
11215,2051
10458,2042
11206,2033
11226,2007
10031,1956
10027,1941
11237,1935
11211,1885
11213,1879
11217,1873
10024,1794
10453,1724
10026,1722
10002,1714
10468,1594
10029,1553
11205,1549
10452,1511
10009,1494
11225,1481
10128,1434
11212,1410
10472,1380
11203,1379
10459,1366
10032,1365
10462,1353
11222,1340
10460,1332
11208,1302
10033,1211
11377,1162
10023,1133
10030,1121
10455,1112
10463,1103
10035,1072
10451,1045
10034,1011
10314,1004
10469,939
11201,923
11235,884
10306,873
10013,845
10003,838
10028,835
10011,817
11101,799
10014,780
10040,774
11433,765
11236,762
10466,757
10454,753
11368,748
11373,740
10312,731
11231,695
10012,689
11234,665
11214,653
11435,653
11372,647
11218,645
11220,632
10036,621
11412,596
11219,590
10301,586
11223,585
11434,583
11230,581
11432,569
10304,567
10019,559
11378,552
11103,546
10016,540
10305,539
10001,538
10037,536
11210,521
10310,516
11249,510
11379,505
10461,504
10473,497
10303,480
10474,455
11419,450
10022,441
11420,437
11417,436
10038,430
11106,428
0,427
10010,426
10465,426
10021,422
10039,421
11224,407
10302,396
11374,391
11209,388
11357,387
10075,378
11204,364
11418,362
11229,361
10308,346
10065,332
11413,328
10007,326
11375,322
11355,322
10309,315
11691,315
11436,311
11104,306
10470,290
11354,275
11232,273
11429,255
11416,254
11105,248
11370,246
11228,242
11421,240
11369,237
11423,232
11414,218
11361,214
11102,209
10471,203
10018,197
11358,175
11367,165
10307,146
11422,144
11426,140
11411,126
10006,126
11365,121
11356,107
10017,106
11694,100
11427,93
11692,92
11428,92
10475,87
11415,85
11693,77
11364,72
10464,61
10004,59
11366,59
11001,57
11360,55
11362,51
10005,45
10069,35
11004,33
10280,30
83,26
11363,23
10282,19
11239,17
11109,15
10162,13
11430,13
11040,10
10044,10
10000,3
11697,2
10112,2
10020,2
10119,1
10111,1
10118,1
10121,1
10120,1
10048,1
11242,1
11371,1
11241,1
10271,1
10151,1
1123,1
100354,1
10174,1
10041,1
11202,1
